,root,name,created,type,purpose,origin,mac,host,user,home,status,commit,,last_checkpoint,step
0,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=2.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
1,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=3.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
2,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=2.0__w_cycle_b=4.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
3,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=2.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
4,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=3.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
5,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=3.0__w_cycle_b=4.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
6,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=2.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
7,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=3.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
8,arc/there_and_back_2/7-02-2019/test_2,w_cycle_a=4.0__w_cycle_b=4.0,"05:21PM February 12, 2020",ThereAndBack,Another experimemt,/data/engs-a2i/kebl4674/experiments/there_and_back_2/7-02-2019/test_2,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,registered,b2abee15800a6afd7de17bb8cac380c3a8b06765,,,
9,arc/cycle_gan/identity,g_out_act:none,"07:12PM October 31, 2019",,,/data/engs-a2i/kebl4674/experiments/cycle_gan/identity,0x848f69fd4f1c,arcus-htc-login02.arcus-htc.arc.local,kebl4674,/home/kebl4674,finished,62c88b48a9ad9b196baf49c67797bfc4801f5674,"04:49PM 01/11/19, epoch 199, step 266800","step 265000, epoch 198",
